object_name,shape,color,material,functionality,print_or_design,object_category
Focus_8643_Lime_Squeezer_10x35x188_Enamelled_Aluminum_Light,other,green,plastic,squeezing,,squeezer
Fruity_Friends,other,multicolored,plastic,playing,graphics,toy_fruits
Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,cylindrical,green and black,metal,cooking,graphics,can
Nintendo_Mario_Action_Figure,other,blue and red,plastic,playing,,action_figure
Nintendo_Wii_Party_U_with_Controller_Wii_U_Game,cuboidal,multicolored,cardboard,packaging,graphics,box
OXO_Soft_Works_Can_Opener_SnapLock,other,black,plastic,opening cans,,can_opener
Olive_Kids_Dinosaur_Land_Lunch_Box,cuboidal,blue,fabric,storage,dinosaurs,backpack
Olive_Kids_Paisley_Pencil_Case,cylindrical,pink,fabric,storage,paisley,pencil_case
Olive_Kids_Robots_Pencil_Case,cylindrical,blue,fabric,storage,robots,pencil_case
Ortho_Forward_Facing_CkAW6rL25xH,spherical,black and green,plastic,head protection,swirls,helmet
Pet_Dophilus_powder,cylindrical,yellow and white,plastic,medication,graphics,bottle
Pinwheel_Pencil_Case,cylindrical,multicolored,fabric,storage,geometric pattern,pencil_case
Polar_Herring_Fillets_Smoked_Peppered_705_oz_total,cuboidal,brown and white,metal,nutrition,label,can
REEF_BANTU,other,black and gray,leather,walking,,shoe
RJ_Rabbit_Easter_Basket_Blue,cuboidal,white and blue,wood,storage,woven pattern,basket
Schleich_Bald_Eagle,other,brown and white,plastic,decoration,,toy_animal
Seagate_1TB_Backup_Plus_portable_drive_Blue,cuboidal,blue and white,metal,digital storage,text,hard_drive
Seagate_1TB_Backup_Plus_portable_drive_Silver,cuboidal,silver,metal,digital storage,text,hard_drive
Seagate_1TB_Backup_Plus_portable_drive_for_Mac,cuboidal,silver,metal,digital storage,text,hard_drive
Seagate_1TB_Wireless_Plus_mobile_device_storage,cuboidal,gray,plastic,digital storage,text,hard_drive
Seagate_3TB_Central_shared_storage,cuboidal,black,plastic,digital storage,text,hard_drive
Seagate_Archive_HDD_8_TB_Internal_hard_drive_SATA_6Gbs_35_ST8000AS0002,cuboidal,black and silver,metal,digital storage,text,hard_drive
Shaxon_100_Molded_Category_6_RJ45RJ45_Shielded_Patch_Cord_White,cylindrical,gray,plastic,internet connection,,electronic_cable
Shurtape_Tape_Purple_CP28,cylindrical,purple,paper,adhesion,,tape
Sootheze_Cold_Therapy_Elephant,animal,gray and red,fabric,playing,,stuffed_toy
Sperry_TopSider_pSUFPWQXPp3,other,brown,leather,walking,,shoe
Spritz_Easter_Basket_Plastic_Teal,cylindrical,blue,plastic,gardening,,basket
TURBOPROP_AIRPLANE_WITH_PILOT,other,red and cream,wood,playing,,toy_airplane
Tag_Dishtowel_18_x_26,rectangular,green and white,fabric,cleaning,stripes,hand_towel
Tag_Dishtowel_Waffle_Gray_Checks_18_x_26,rectangular,gray and white,fabric,cleaning,checkered,hand_towel
Thomas_Friends_Wooden_Railway_Porter_5JzRhMm3a9o,cylindrical,blue and yellow,wood,playing,,toy_vehicle
01edac706c8e5f84fbfe967d135a85e316577079,rectangular,black and yellow,wood,decoration,image,picture_frame
0443db4d501a2ef4f89301f47f4be51a6be97d5f,concave,green,plastic,serving,,bowl
10aad7e8b95a3bc4bf9cc81d416016befad8e737,cuboidal,purple,paper,writing,,book
115e795ad1493bd23ae7974184818cd51b937001,concave,white and green,ceramic,serving,floral pattern,bowl
21e5c7cabc2047f82439c63c8e5e785d58a67bfc,cuboidal,black,paper,writing,,book
2f8ce20db01f6f9cff0d3170271f45ef139276ed,cylindrical,cream,metal,storage,,jug
2fd36b341e66b948ec0cd87264036f7881cedb4b,cylindrical,black,glass,decoration,textured,vase
3017f3e89e8d40f76e1ef5d10a6c9787ba63e743,rectangular,silver,metal,serving,,tray
31f4052e890beb8bebedcaac4ee02b625f0d1859,rectangular,black,plastic,serving,,tray
32c235017beb57dcbcc87e87871acbf68cd189ae,cuboidal,brown and cream,wood,timekeeping,,clock
379ad1f30cbdee03b3ce2a68d11b6b855e746fb7,cylindrical,multicolored,ceramic,decoration,brick pattern,vase
387d604356db232de6468dc6a4c66230c8cd0fac,cuboidal,gold and red,paper,reading,image,book
3a4f40e2d346ca8cebe6edf88cec493bb89737b7,cylindrical,blue and transparent,glass,storing liquid,,bottle
3b21020881a85d6316b9473259c0d77514c12876,cuboidal,white,plastic,timekeeping,text,clock
3b519761173617ee47ca61e25681279ae9fdaba9,circular,red and white,ceramic,serving,polka dots,plate
41753aebe629e7e2fbc8c576ce5865056b824ff7,circular,white and blue,ceramic,serving,graphics,plate
450399b5e12af02ee45e094a7a95580432d82f86,cuboidal,brown,wood,timekeeping,text,clock
46d69ab16b7cd068d424c383955b91e756184130,circular,white,ceramic,serving,,plate
4b4f5834c4163706bcc3029862f8f0ec73d92684,cuboidal,brown,glass,storing liquid,label,bottle
4db7a1a5377cf18b8a14ab335a2970724ec43f2c,spherical,white,ceramic,brewing tea,dots,teapot
514bcfa03c15eae74fc4ee090c9e3186100ecede,spherical,multicolored,ceramic,brewing tea,stripes,teapot
577ab6846773c22e68a1ead745bba0ac6e60d8b2,cylindrical,black and white,metal and glass,heating liquid,,electric_kettle
5987a90f46b36e79028cc46a90fa39bc0b9cb2a3,conical,silver,metal,serving liquids,,glass
5b370f537fda5e97a00b491d7469b0761e2570bc,rectangular,gray and white,plastic,decoration,image,picture_frame
6361984802efa59ed8b1b2bafc2ca9aa91d4fe8e,bulbous,white,glass,storage,,bottle
6441c18aab2884608788795c231b96924c6e5523,cylindrical,gray,ceramic,decoration,,vase
6c012b2a87c94cc8b26d014ba8601b4eadf0c17d,cuboidal,black,paper,writing,,book
6c1af528c8424b3c09a8284f27f4dfd96c4a8a56,curved,black and white,wood,timekeeping,text,clock
6d3e6501fd91b94bedb34344757d43b8c5f8facf,other,black,metal,heating liquid,,kettle
70bf9f997babb17d77bafb5cc9cfc30e32a02403,animal,brown and yellow,fabric,playing,,stuffed_toy
7399f8521ca7ef2a8d294e50b5a8063ad5bc02d9,rectangular,gray,fabric,head support,,cushion
74719799dd6db4311fb6cb0a62f9e2892006e2b7,other,black,plastic,vision correction,text,spectacles
7b4ca77d236d65ef61572a5cad361c33a6976021,rectangular,white,plastic,decoration,,picture_frame
878dc86bcc60dec276240e2c7551b73094903127,rectangular,white and green,ceramic,serving,lines,plate
87a34af23efddf90b6267768647fbedcbf846827,cylindrical,gray,ceramic,serving liquids,,cup
87ed6d0c785b3245207bb217eb3ee3fc079f8633,cuboidal,brown,wood,storage,,basket
8aa978beb04d130c9d587f9c2858522cbf559703,cylindrical,gray,ceramic,decoration,,vase
8f219c41f9dee18f531ead442c29cb1f5615cd7d,cylindrical,white and blue,ceramic,serving liquids,lines,cup
917651b88d2d95bdb9d186328a36a94b1a1f3222,cuboidal,brown,paper,writing,,book
91b325c9cc01f9cee08f3cb14ff3a779a241293a,concave,red,plastic,serving,bear face,bowl
952ee2c654a116614574c4407d8182a3d2af656a,cylindrical,white and gray,plastic,storage,heart pattern,glass
95c68d8838c86a3f597fac1a72dcad7951f044fe,cylindrical,blue and black,wax ,lighting,,candle
991bae3b8af2a9a110e32138d6a63ae1f038c0bc,cylindrical,multicolored,ceramic,storage,brick pattern,glass
9c02c6496d1e3c5cc62b01afc47de32ac9818ed0,cylindrical,cream and white,ceramic,serving,,cup
9e0b08eceb97e1b79cb728ec31891e71ac97570a,cuboidal,multicolored and red,paper,reading,printed,book
a4654ee5e9322c13bf2c85cb8e2c988c7c4365db,cylindrical,gray and white,stone,serving liquids,,glass
a8e2f442d0f6e5d86d27aa23aac71392f332addf,other,white and cream,other,playing,,stuffed_toy
b0e85675655f936f71c6b47f6bf0bcd09e4e09cb,cylindrical,gray and brown,stone and wood,seasoning,,spicemill
b4ba58ab622b84b76b98a8d4f907116425d68f3b,other,light brown,fabric,playing,,stuffed_toy
c1a07c25aef6562d3459a2d1bfbbc4e3265b0fab,cylindrical,green,metal,timekeeping,text,clock
c27ffe33c37fb0d58bd76b949f85b4896545e0ed,cylindrical,cream and brown,ceramic,decoration,,vase
c8d16af73e07db7b9ff1aea7bc583f22f9166d72,rectangular,brown and cream,plastic,decoration,image,picture_frame
cb99e067e7b29c10b0dd4af17b50969a94e1796c,cylindrical,silver,metal,serving,,glass
cccc049db3ef5417dc934e267c4fbe40d6eb3691,other,brown and red,fabric,playing,,stuffed_toy
d09e802e1433f67df014386783a93db85eedef8e,cylindrical,brown,ceramic,serving liquids,text,cup
d516aeceef849a09918f3b92e3fb422b7b29e64c,rectangular,brown,wood,decoration,stripes,picture_frame
d5a5480ce6fc74aa5cb74f6b16c2dea8cb90544e,cuboidal,white,glass,storing liquid,text,bottle
dbcd7791f12e9e9ae40e8ea77a8203bf66cb50a1,cuboidal,multicolored,paper,reading,image,book
e1c1bad84e5f13ad43ee5c702656ac412df0d088,cylindrical,blue,ceramic,cooking,,casserole
ea21d1fc5ed78e1a0c2ec72acdecbf7ca7983ffe,cylindrical,pink,wax,decoration,,candle
ed14e770fd67e162579a13fc83a47646527f1625,concave,white,ceramic,serving,,bowl
ed95f32cc00075ceed5bd4b593d2a06a444c0eec,cylindrical,blue and white,ceramic,serving liquids,,cup
f427ee2c7b7482af6c00918245cad73df5241a94,cylindrical,gray and white,ceramic,decoration,,vase
xxxx04ce6371xf141x45dcx8d79xf7c193d2a1b6,cylindrical,red and transparent,glass,serving liquids,,glass
xxxx575beb73xadbex4b2axbc06x2273ca72ce73,cylindrical,white and blue,wax,decoration,textured,candle
xxxxe3f9a974xfd88x433bx92c8x5f4d72d43be3,cylindrical,transparent and gray,glass,storing liquid,,bottle
188c1fa84ac72c9d9f17430052459e4cfebc0f81,cuboidal,black,paper,reading,text,book
1bd20c0904b0a85598a32a2de70c3a2facdf8e4d,bulbous,green,ceramic,decoration,ribs,vase
214f1f476b131b11636fd17e6f8e8d8ec86e2c59,cylindrical,white,ceramic,cooking,,casserole
391972f73810b6eab26e322652d88a61aea7a739,concave,gold,metal,serving,,bowl
3d779b56904aafa1c8f2412e4f5e4c4460098bb0,cylindrical,multicolored,ceramic,serving liquids,santa claus,cup
3dd23dc556fc4cfddb51b24987f1758ca0db4f2c,rectangular,brown and white,wood,decoration,image,picture_frame
4087db7d03a368aeb48956f358eeee58e0edd7b3,circular,green,ceramic,decoration,floral pattern,plate
42df49592ce3c646bf92368203f520035f62a28f,animal,brown,wood,decoration,,stuffed_toy
438c5d36069bba7af2248c42349e99c1a69547ff,cylindrical,black and white,ceramic,storing liquid,floral pattern,cup
7251c7d128ec42f88c4ac07568ecfe9fac7e86d7,rectangular,black and white,wood,decoration,graphics,picture_frame
8c8df98aa3b25617201f5c40ae09bd20648ee8d7,cylindrical,multicolored,wood,storage,stripes,box
ad87281ca93b236560306a08f0953ba340e85c3c,bulbous,bronze,ceramic,storing liquid,leaf,jug
xxxx6c3b8f4ax07a5x4c9exbf89x4cce25209c87,cylindrical,white,ceramic,storing liquid,,cup
xxxx82261fccxf2d8x4aacxbf4axb3a0a222dbad,curved,transparent,glass,storing liquid,,glass
B07JLBDT51,cylindrical,multicolored,ceramic,decoration,stripes,vase
AllergenFree_JarroDophilus,cylindrical,yellow and white,plastic,medication,label,bottle
Canon_Pixma_Chromalife_100_Magenta_8,rectangular,white and red,cardboard,packaging,graphics,box
Cole_Hardware_Saucer_Glazed_6,circular,brown,ceramic,gardening,,plant_saucer
Ecoforms_Plant_Saucer_S14MOCHA,circular,brown,plastic,gardening,,plant_saucer
Ecoforms_Plant_Saucer_S17MOCHA,circular,brown,plastic,gardening,,plant_saucer
Ecoforms_Plant_Saucer_SQ1HARVEST,rectangular,yellow,plastic,gardening,,plant_saucer
F10_TRX_TF_rH7tmKCdUJq,other,purple and blue,synthetic,running,stripes,shoe
Office_Depot_Dell_Series_9_Ink_Cartridge_Black_MK992,cuboidal,white and green,cardboard,packaging,graphics,box
Olive_Kids_Butterfly_Garden_Pencil_Case,cylindrical,multicolored,fabric,storage,butterflies,pencil_case
Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL,cuboidal,white and brown,cardboard,packaging,graphics,box
Philips_EcoVantage_43_W_Light_Bulbs_Natural_Light_2_pack,cuboidal,multicolored,cardboard,packaging,graphics,box
Apple_13,cylindrical,red,organic,nutrition,,apple
Apple_14,spherical,red,organic,nutrition,,apple
Apple_22,oval,red,organic,nutrition,,apple
Book_6,cuboidal,blue,paper,reading,graphics,book
Bowl_6,concave,black,ceramic,serving,,bowl
Egg_11,oval,cream,organic,nutrition,,egg
Egg_23,oval,cream,organic,nutrition,,egg
Hand_Statue_Master,human,white,plastic,decoration,,statue
Laptop_13,rectangular,black,plastic,computing,logo,laptop
Mug_2,cylindrical,cream,ceramic,storing liquid,,cup
Plate_12,square,white,ceramic,serving,,plate
Plate_19,circular,gray,ceramic,serving,,plate
Potato_18,oval,brown,organic,nutrition,,potato
Potato_6,oval,brown,organic,nutrition,,potato
Soap_Bottle_17,bulbous,pink and bronze,glass and plastic,storing liquid,,soap_dispenser
Soap_Bottle_23,conical,brown and bronze,glass and plastic,storing liquid,lines,soap_dispenser
